ds,yhat,yhat_lower,yhat_upper
2014-02-15,264.79336948286186,-2354.672367813046,2710.221384929698
2014-02-16,374.10583038342804,-2309.711931142579,2755.941793617252
2014-02-17,558.1677870675229,-1942.9629404645746,3284.4773244557905
2014-02-18,-139.17780032914243,-2612.536304996473,2171.524145466263
2014-02-19,-1102.348513863836,-3588.520923041088,1402.3194124189604
2014-02-20,27.14898323969419,-2535.859245955239,2536.445837035254
2014-02-21,544.6772248466174,-2062.125978363909,3098.135289719949
2014-02-22,239.20447408827772,-2323.1113047279955,2686.555631771932
2014-02-23,421.17432728239714,-2148.4912607701326,3208.2082318556468
2014-02-24,680.3237588004278,-1811.8554507212507,3250.6185705990524
2014-02-25,58.98710126705578,-2560.702026660414,2646.3761394482303
2014-02-26,-828.7893037510839,-3571.645949646529,1738.4119883405401
2014-02-27,373.95934822460083,-2003.4716066352141,3018.5339851689887
2014-02-28,961.1092356036381,-1882.0478027207537,3558.494540620474
2014-03-01,720.2179016668123,-1866.8256059986732,3128.557878730872
2014-03-02,960.4253314494551,-1702.9327623042068,3523.2557599037823
2014-03-03,1270.3007499012217,-1404.583475048677,3905.1421757163516
2014-03-04,691.1719643732841,-1914.2859758328702,3389.6766065424185
2014-03-05,-163.73859480583496,-2955.6923552035173,2563.5656173562297
2014-03-06,1061.9095183320167,-1501.1447541024431,3627.0995262540127
2014-03-07,1661.5797985259776,-711.3132783156708,4348.488283837235
2014-03-08,1422.6358426062286,-1230.4442963110127,3842.4437219720253
2014-03-09,1654.2443127145807,-733.2426868954012,4233.614794297917
2014-03-10,1945.2184574792118,-670.4441398745964,4472.834278363695
2014-03-11,1337.339154230468,-1172.672932263202,3840.508321759834
2014-03-12,444.4778887313348,-2326.6483233394138,3161.2141911716208
2014-03-13,1623.80270389763,-714.5276640921986,4104.146893630381
2014-03-14,2169.761887506813,-460.7896463349038,4806.153062633096
2014-03-15,1870.8363508573266,-622.2120907379939,4508.067721632536
2014-03-16,2037.415235776998,-565.1148263626791,4451.841921558386
2014-03-17,2259.610103497396,-111.06235484370598,4822.7516177938
2014-03-18,1580.5454134235094,-1002.9670526170922,4256.814531347306
2014-03-19,615.4504731375508,-2035.5393062003607,3232.7298387501746
2014-03-20,1722.8346560922676,-530.7830513114802,4293.174189146057
2014-03-21,2198.4414028246147,-457.5871146045912,4802.185779613805
2014-03-22,1831.9726652411337,-825.5394310164617,4657.308008096922
2014-03-23,1934.9389834892204,-649.3477010601957,4527.410877517344
2014-03-24,2098.451129352892,-568.6699949981679,4588.290552887261
2014-03-25,1366.491519345637,-1170.555374569978,3969.150193649247
2014-03-26,354.9909771215615,-2135.2762100242094,3057.591616944424
2014-03-27,1422.9929343577087,-1177.0534443778754,3957.642852933528
2014-03-28,1866.6007672230432,-817.4827035236575,4319.682373689583
2014-03-29,1475.699994907397,-925.9692287662895,4102.727036413702
2014-03-30,1561.8104824555392,-948.4691351937349,4179.444217508877
2014-03-31,1715.8844236220875,-1010.4801466946686,4291.73561794305
2014-04-01,981.5880436458667,-1513.3059955635665,3644.54886283003
2014-04-02,-25.607757963095082,-2615.4103416332664,2474.3660217903384
2014-04-03,1052.7538198611294,-1477.471119659529,3817.5184779741635
2014-04-04,1512.0824719132593,-1093.1013180309906,4087.4916648165517
2014-04-05,1141.4846965813858,-1522.035506960233,3767.538980579578
2014-04-06,1251.6391509193909,-1368.8625195671214,3861.777767081649
2014-04-07,1432.618587990627,-1090.5289031700663,4099.923011572816
2014-04-08,727.1956718698843,-1870.7392686900848,3350.6333801808555
2014-04-09,-250.0427453814782,-2850.7789942760146,2123.0300037482734
2014-04-10,858.5081538570237,-1778.6999750321668,3416.4977155066176
2014-04-11,1347.4590464987975,-1312.8302376847087,3833.984857965556
2014-04-12,1005.1891245262009,-1372.2796447367202,3561.0457508791424
2014-04-13,1141.7376028689632,-1505.093319590541,3762.488862141978
2014-04-14,1346.6388590722638,-1284.9225636054873,4070.5125897058056
2014-04-15,662.2382298114487,-1899.0282803061416,3333.009215797715
2014-04-16,-297.1871264200063,-3031.3935253945942,2125.2479769029296
2014-04-17,825.7786566962682,-1719.1557547828756,3386.1023452180993
2014-04-18,1325.6776950356666,-1241.4711579296957,3711.946330779042
2014-04-19,990.937307157035,-1563.0793424051403,3713.2748039033136
2014-04-20,1131.7546677854257,-1347.6344931210572,3820.5210355556437
2014-04-21,1337.922221580888,-1014.2911257695779,3946.9441040272445
2014-04-22,652.1312346901153,-1960.234335779437,3156.8100365711016
2014-04-23,-310.9216933891439,-2802.2340043116437,2199.8925249434014
2014-04-24,806.656260929393,-1817.2924942066636,3454.726018966008
2014-04-25,1299.9245430235896,-1351.2136140240282,4026.287411431257
2014-04-26,957.8503961239551,-1744.6432844517599,3579.754769217948
2014-04-27,1091.1756254471952,-1473.311434376761,3679.822003041106
2014-04-28,1290.2245217669915,-1226.7290429280433,4055.6399522498596
2014-04-29,598.1908098135071,-2411.804205075938,3169.188113195171
2014-04-30,-369.77110461231746,-3009.159007644722,2320.939601810283
2014-05-01,744.63123261289,-1810.985632583897,3386.877077483122
2014-05-02,1236.787283665162,-1185.8684731502683,3808.6129303690423
2014-05-03,895.9156194869204,-1846.9905379736836,3487.1506406907884
2014-05-04,1032.924174849623,-1496.7690653791315,3489.7418591871474
2014-05-05,1238.2143552604423,-1320.3568288978554,3883.168718360717
2014-05-06,554.9669075973021,-2166.5600471138546,3048.5373577610476
2014-05-07,-401.76520414815604,-2984.9644729641336,2152.8342973507665
2014-05-08,726.1247943081753,-1911.6166166595622,3420.5120380021335
2014-05-09,1233.7630897198317,-1521.6167324188395,3816.769344643676
2014-05-10,910.0361950028004,-1584.0102434578798,3467.8528916063738
2014-05-11,1065.4618852900267,-1528.3021280533605,3559.6937983377625
2014-05-12,1290.0055042509564,-1351.3318989802808,3855.6750781496535
2014-05-13,626.3791673403846,-2001.9456352417433,3232.8591217651583
2014-05-14,-310.8513062145364,-2886.516706643214,2157.1322387251885
2014-05-15,835.929558516207,-1588.6697606408634,3417.1967275710786
2014-05-16,1361.3667346174034,-1256.99843724754,3841.4590757229266
2014-05-17,1053.889320787603,-1569.9790891731666,3669.1949526298076
2014-05-18,1223.5942803258765,-1273.3311652942352,3881.821290460018
2014-05-19,1460.0742900513064,-889.3375262818777,4010.499764544728
2014-05-20,805.72692011681,-1609.3017246648674,3344.932904348095
2014-05-21,-125.13027726553923,-2784.04551699721,2344.7471875580995
2014-05-22,1024.942325201545,-1561.125325028796,3559.907993058096
2014-05-23,1550.4902645575226,-998.6620205339585,4270.210657021673
2014-05-24,1239.9213889541093,-1527.4673742071955,3817.2680725877417
2014-05-25,1403.3891548368156,-1134.9506997673657,4016.225409721347
2014-05-26,1630.6178692879112,-949.1887797385359,4250.775932715025
2014-05-27,964.2072315837635,-1564.8012640727732,3557.303423134862
2014-05-28,18.74092548690487,-2484.632222951146,2534.1768612801793
2014-05-29,1151.9805870526309,-1546.3662884722216,3659.0306747757604
2014-05-30,1658.8401556920417,-1001.0765054167282,4388.69383027156
2014-05-31,1328.1317380469297,-1213.1930397656051,3845.2412307621603
2014-06-01,1470.4376353797795,-1117.352542257417,4133.889424347096
2014-06-02,1675.9239346582465,-1213.1170677112764,4278.5884683104105
2014-06-03,987.6333500792153,-1584.2864499789937,3575.7300613296024
2014-06-04,20.582407866183075,-2523.019296267255,2657.2950535503765
2014-06-05,1132.94461727766,-1391.2715609161062,3756.9885433398986
2014-06-06,1620.0149286979931,-912.2611427436985,4287.89738003107
2014-06-07,1270.9468674120526,-1079.7823317567215,3907.4636905315974
2014-06-08,1396.6172118589698,-1198.7452715648342,3876.670357956799
2014-06-09,1587.4337880077983,-887.8598988850717,4034.587939270519
2014-06-10,886.6241875166834,-1736.1003679936834,3396.6696927960243
2014-06-11,-90.66942960521669,-2709.7620227066486,2596.7935226952536
2014-06-12,1013.7922091871144,-1482.7787052131303,3395.078053386533
2014-06-13,1495.311036629334,-1075.7310254255344,4201.452250040217
2014-06-14,1142.9914960118629,-1447.0886122318254,3635.809530182729
2014-06-15,1267.6094270214824,-1298.097118003103,3577.8466581964967
2014-06-16,1459.4253813474763,-1072.4426921444303,4190.163897756629
2014-06-17,761.4799634517049,-1884.881714547536,3378.7060155385843
2014-06-18,-211.30388262774022,-2852.5796846058074,2265.857269659176
2014-06-19,899.0697571361518,-1509.1285042425277,3636.5165176833675
2014-06-20,1387.6437323315085,-1091.9823293666539,3962.478262023862
2014-06-21,1043.2561552208422,-1501.929212214787,3538.7782636602847
2014-06-22,1176.4175554649207,-1318.948898092358,3920.0301802479544
2014-06-23,1377.1320045008727,-1195.0399681155848,3966.575240155352
2014-06-24,688.1995746024572,-1834.4785577570224,3383.5683248452324
2014-06-25,-275.6751480625112,-2879.9918698476695,2574.8433445939468
2014-06-26,843.3127340879504,-1765.6340193466262,3336.862162710924
2014-06-27,1340.0463755880098,-1189.9077581103584,3985.7368326563032
2014-06-28,1003.2382219813194,-1648.5632723547308,3396.1637515373086
2014-06-29,1143.308557033804,-1331.5951108788493,3521.7087453468057
2014-06-30,1350.2067079451353,-1093.268022864211,3859.942423549022
2014-07-01,666.7123202106676,-1862.6383449764403,3328.5700361863796
2014-07-02,-292.4584908423101,-2862.6258453925275,2198.1995794374743
2014-07-03,830.5392439521193,-1582.66461753147,3330.9427423309344
2014-07-04,1330.6529856494008,-1321.2658056047208,4050.840555603657
2014-07-05,996.67870494569,-1504.5740899359628,3664.445245987279
2014-07-06,1139.1339097032549,-1599.619584372672,3562.0626191942374
2014-07-07,1348.0730459428132,-1285.0816377935394,4053.4898012320973
2014-07-08,666.3829086422281,-1980.7779033346994,3282.5395038501993
2014-07-09,-291.1169077143845,-2770.6521764199842,2205.2590348305607
2014-07-10,833.5130504371751,-1738.9568957488639,3473.203253615287
2014-07-11,1335.300984105194,-1256.258410837167,3795.1681949300473
2014-07-12,1003.1058587319296,-1530.788928688944,3759.3471511145253
2014-07-13,1147.4873266733603,-1289.7385958808914,3678.470094436427
2014-07-14,1358.5190322951037,-1141.0919320648954,3950.7468246242784
2014-07-15,679.0830126850377,-1856.2411944518412,3206.96001248942
2014-07-16,-276.0297383312186,-2852.9317667872715,2236.830913440397
2014-07-17,851.0690241787515,-1676.5589501719214,3379.877767883185
2014-07-18,1355.3359977293687,-1317.9405197823166,4096.680530311942
2014-07-19,1025.5416605016471,-1508.0928117440583,3675.214118508937
2014-07-20,1172.1443860065283,-1259.3199145221502,3923.6934328211664
2014-07-21,1385.1086728536004,-1264.0609428203002,4091.177646121892
2014-07-22,707.2050271362542,-1933.9379477330394,3310.9852695051095
2014-07-23,-246.8836317228529,-2690.126176328531,2455.961163543206
2014-07-24,880.6323137199741,-1649.4823376693905,3357.660199963302
2014-07-25,1384.6262996532284,-977.7313614724691,3680.8502596377975
2014-07-26,1053.8065368872963,-1456.0309224160762,3577.8229516056876
2014-07-27,1198.5952478193283,-1440.028736699413,3820.8859026451228
2014-07-28,1408.9513124557668,-1205.4057304313624,4036.684824344862
2014-07-29,727.6736803140438,-1872.7370526701068,3161.27365488674
2014-07-30,-230.48973569832606,-2791.8058246330415,2584.7655056907524
2014-07-31,892.3535483748101,-1771.2184718950948,3491.8918994004066
2014-08-01,1391.2177777422796,-1398.1267994849359,3863.4766757961165
2014-08-02,1054.9886809465863,-1554.838300505307,3726.1186314769475
2014-08-03,1194.3001601896817,-1359.7107412877947,3711.0683964858576
2014-08-04,1399.353109589258,-1150.7973631845302,3960.603863631578
2014-08-05,713.2137903530097,-1561.558579307438,3331.3036607164204
2014-08-06,-249.0834099050178,-2849.3054871599875,2382.5602010026378
2014-08-07,870.652544955102,-1638.104426624076,3487.2056564682784
2014-08-08,1367.7386721056564,-1092.3466096989473,3827.0106485752035
2014-08-09,1031.3592675107361,-1630.4370439828856,3393.2192481055786
2014-08-10,1172.4338318782784,-1438.2287253035915,3702.2403470845516
2014-08-11,1381.4270255520264,-1406.3410169612612,3992.0483505652383
2014-08-12,701.6383300743707,-1810.4687548173004,3321.0686987190174
2014-08-13,-251.70350726356833,-2756.7862127804274,2302.3652308705814
2014-08-14,879.7403752433461,-1715.2298311300176,3439.414649776246
2014-08-15,1391.3814828232548,-1138.170871644474,4081.5230193219254
2014-08-16,1072.439537018856,-1528.3360077242767,3725.3526199578673
2014-08-17,1233.8059372630908,-1428.7042999236376,3860.7489984719564
2014-08-18,1465.8506624770318,-1168.4066865514314,3945.3934560272232
2014-08-19,811.7104050364993,-1869.9683678412723,3428.1529041368076
2014-08-20,-113.61691123074979,-2746.101086711023,2608.1217387902266
2014-08-21,1047.9104260681866,-1330.0439425490736,3706.0520416975855
2014-08-22,1591.3437818296402,-1048.229933710313,4205.744886940648
2014-08-23,1305.484656692854,-1130.9825419808287,3878.113953420636
2014-08-24,1500.7545428569954,-984.7761540240297,4036.746270231412
2014-08-25,1767.009574170975,-763.0222872664267,4184.30663147665
2014-08-26,1146.837594543293,-1525.1277257866861,3673.769664736403
2014-08-27,254.6626071968542,-2125.4725489548214,2948.9144077181413
2014-08-28,1447.9380328484415,-1272.5489108333566,4097.880363983072
2014-08-29,2021.123807831058,-577.042720341321,4590.110125470744
2014-08-30,1762.4383813919853,-807.0332213965502,4424.866955435759
2014-08-31,1981.7401065420286,-767.4333705965644,4538.59704917616
2014-09-01,2268.353187340842,-480.2628423481281,4911.169725080356
2014-09-02,1664.375558734269,-894.5520906614591,4232.34950989951
2014-09-03,783.7934175875296,-1858.5998531275632,3447.9501540427873
2014-09-04,1983.6836211785444,-476.73319929579026,4591.334833005184
2014-09-05,2558.1987873739554,-144.89607989528275,5066.5585406607
2014-09-06,2295.325991690461,-406.6906368084287,4867.701179439307
2014-09-07,2504.77342361127,-146.84072501788967,5251.693302528228
2014-09-08,2775.8000680234245,292.17043330446324,5402.936306633618
2014-09-09,2150.5257276880066,-560.6359461118806,4713.756438413597
2014-09-10,1243.0460823475692,-1157.0900557026682,3889.276663739318
2014-09-11,2410.6340144880132,-294.1352122933552,5047.046223950798
2014-09-12,2947.7220848948355,384.89679269564675,5581.700145667269
2014-09-13,2642.657135122382,80.74325891426422,5132.939301056473
2014-09-14,2805.5814907304057,180.2176287214774,5393.077139657411
2014-09-15,3026.255968432364,568.081486970029,5747.940420106255
2014-09-16,2347.3621617400986,-16.662423484654987,4942.3703611891615
2014-09-17,1383.6088757481166,-1154.0642093568665,3923.146699399709
